name	lii	bii	distance
ESO 008 06	306.5592	-21.4418	 1380
ESO 026 02	313.583	-30.7574	 2473
Mamajek 1	292.4817	-21.6535	   97
ESO 021 06	307.2214	-16.3409	 1222
Feigelson 1	300.2173	-15.6085	  114
NGC 1520	291.1373	-35.7047	  775
ESO 043 13	317.7172	-19.3386	 1490
ESO 065 07	305.9925	-8.6218	 3835
NGC 1557	283.7728	-38.2608	 1055
NGC 5359	308.6803	-8.2906	 2500
ASCC 69	299.0466	-7.2372	 1000
ESO 065 03	302.9475	-6.8583	 2300
ASCC 51	286.2453	-14.08	  500
ESO 062 08	290.3386	-10.2121	 1983
ESO 062 11	291.5066	-9.1549	  910
NGC 1785	280.0139	-35.247	 3080
ESO 064 05	300.4572	-5.7242	 1239
NGC 1901	279.0397	-33.6065	  460
ASCC 78	314.7702	-8.6468	 2400
Collinder 261	301.6836	-5.5276	 2190
Ruprecht 163	293.1627	-7.1232	 3019
ASCC 71	299.9908	-4.8239	 1300
Ruprecht 110	309.9496	-5.6087	 1300
NGC 2348	278.1416	-23.8091	 1070
ASCC 73	301.4963	-4.4596	  650
BH 140	303.0936	-4.2954	 3106
Collinder 268	305.5413	-4.3474	 1963
ASCC 57	287.9685	-8.5965	 1500
FSR 1617	300.674	-3.8089	 1828
ASCC 76	308.9766	-4.2448	  600
BH 164	314.2881	-6.0748	  440
Collinder 269	306.1676	-3.5133	 1300
Collinder 277	308.672	-3.8318	 2204
Platais 11	308.6376	-3.7763	  232
BH 144	305.3459	-3.1559	12000
NGC 1641	277.203	-38.3181	  985
Loden 1002	309.4371	-3.2419	 1332
Loden 757	305.1214	-2.5174	 1340
Ruprecht 84	285.3196	-8.8177	 1800
ESO 093 08	293.5065	-4.041	14000
FSR 1605	298.3795	-2.708	 4430
Melotte 101	289.8641	-5.5605	 1995
NGC 4815	303.6249	-2.0971	 3079
Ruprecht 107	305.9266	-2.2431	 1442
Loden 995	309.2996	-2.7538	 2400
ESO 099 06	318.7587	-6.9769	 2231
NGC 4463	300.6434	-2.0139	 1050
Loden 615	299.6585	-2.1074	 1000
ESO 092 05	286.185	-7.502	 5168
NGC 5288	309.0102	-2.4916	 2158
ESO 092 18	287.1283	-6.6552	10607
ESO 097 15	311.7889	-3.195	 3274
Ruprecht 98	297.306	-2.2896	  494
Loden 848	307.502	-2.0241	 1797
ASCC 70	299.0116	-1.836	 2700
ASCC 82	320.5548	-7.7406	  800
IC 2602	289.6014	-4.9061	  161
ASCC 56	286.3898	-6.8759	  800
Loden 894	308.1277	-1.9494	 1423
Collinder 271	307.1027	-1.6402	 1169
Juchert 13	297.5308	-1.7513	 2944
BH 132	300.2635	-1.3216	 5229
Ruprecht 99	297.6325	-1.4771	  660
