pixel	count
0	7741
1	7306
2	7547
3	7701
4	7762
5	7674
6	7209
7	7025
8	7238
9	7469
10	7617
11	7392
12	7421
13	7962
14	7656
15	7314
16	7042
17	6850
18	7133
19	7411
20	7444
21	7624
22	7187
23	7474
24	7535
25	7436
26	8119
27	7744
28	7425
29	7006
30	6941
31	6825
32	6818
33	7221
34	7574
35	7548
36	7523
37	6883
38	7351
39	7364
40	7531
41	7495
42	7281
43	8131
44	7660
45	7294
46	6859
47	6996
48	6680
49	7052
50	7038
51	7258
52	7396
53	7543
54	7753
55	7665
56	7431
57	7712
58	8027
59	7806
60	8021
61	7800
62	7547
63	7620
64	8208
65	7650
66	7509
67	7246
68	6843
69	6815
70	6864
71	6837
72	7014
73	7168
74	7253
75	7325
76	7662
77	7846
78	7918
79	7727
80	7844
81	8026
82	8199
83	8073
84	8226
85	8060
86	7875
87	8287
88	8242
89	8225
90	7774
91	7210
92	7342
93	6744
94	6719
95	6732
96	6601
97	6608
98	6908
99	7155
100	7348
101	7223
102	7452
103	7790
104	8067
105	8177
106	7590
107	7979
108	8096
109	16022
110	8173
111	8190
112	8258
113	8142
114	8058
115	28758
116	7928
117	8337
118	8102
119	7518
120	7489
121	7279
122	7105
123	6708
124	6646
125	6571
126	6728
127	6746
128	6913
129	7063
130	7564
131	7667
132	7723
133	7589
134	7975
135	8090
136	8220
137	7681
138	7924
139	8223
140	8447
141	10997
142	8399
143	8550
144	8555
145	8280
146	8201
147	8160
148	8181
149	8010
150	8251
151	8087
152	7692
153	7521
154	7432
155	7217
156	6861
157	6575
158	6593
159	6372
160	6638
161	6712
162	7042
163	7066
164	6752
165	7007
166	7470
167	7968
168	7762
169	8824
170	8367
171	8176
172	7674
173	8097
174	8438
175	8601
176	8900
177	8901
178	8992
179	8830
180	8703
181	8481
182	8651
183	8646
184	8318
185	7878
186	8927
187	8249
188	7895
189	7887
190	7622
191	7589
192	7217
193	7267
194	6442
195	6649
196	6428
197	6367
198	6686
199	6650
200	6812
201	5802
202	5671
203	5267
204	6032
205	6272
206	7354
207	8162
208	8054
209	8314
210	8473
211	8062
212	8202
213	8428
