,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
2,1636148068921376768,Gaia DR3 38655544960,38655544960,1757259052,2016.0,45.00497837174552,0.017885398,0.019879675701858644,0.01877158,3.1391701154499523,0.022347411,140.47131000000002,35.308209999999995,29.686339048921706,0.023771733,19.115199913956804,0.023830384,0.11526310000000001,0.07323115,-0.10691941,-0.03021361,-0.4488657999999999,-0.15551351,-0.37927917,0.18184616,0.26367012,0.35528076,183,0,182,1,0.26434276,181.43846000000002,0.0,0.0,31,False,1.4550159,,,,,,,,21,15,0.03929549,21,9,0,0.024301996,98.629005,0,0,1.012191,0.30656147,0.20578752,0.45299426,0.84656596,-96.31889,-34.497215000000004,-44.82578,30.34742,False,180,42030.600439424044,11.392837,3689.2129999999997,14.128453,20,17955.47937733753,26.03932,689.55255,14.70305,19,34263.48754002838,36.75135,932.3055400000001,13.410816,1.2424035,0.0,3.0,0.0,2.0,0.0,1.2922334999999998,0.5745964,0.71763706,41.187176,3.1130338,2.0,10.0,1.0,8.0,7.034563,,,749.9199,,4500.0,3.0,-0.25,111.0,,,,13.068616,0.049816404,10.0,,NOT_AVAILABLE,176.94476211452786,-48.885270124264835,42.54687201911592,-16.318521975182243,False,False,0,True,True,False,False,False,True,True,False,1.03982646e-13,5.193881e-13,0.9998059000000001,4708.7944,4659.062,4723.2773,4.5588,4.5261,4.5654,-0.087,-0.1218,-0.0681,332.8322,330.4709,347.1729,0.2345,0.184,0.2516,0.182,0.1425,0.1955,0.0961,0.0752,0.1032,MARCS
34,1636148068921376768,Gaia DR3 2851858288640,2851858288640,187245224,2016.0,45.132144414036745,0.017589154,0.1378535532444834,0.014134296000000001,2.6762066246654364,0.018929553999999998,141.37715,19.24554,4.722163881935847,0.023343084,18.657223456570797,0.016468382,-0.2062952,0.16326086,-0.2594169,0.22095163,-0.4571115,0.20854875,-0.18092339,-0.036596518,0.11352798,-0.11697136,193,193,193,0,4.0358205,437.79175,0.08982005,8.424436,31,True,1.5585552,,,,,,,,22,13,0.033212423,22,9,0,0.039942667,149.85532,0,0,1.213301,,,,,,,,,False,192,215004.47474807856,66.96533000000001,3210.6833,12.356247999999999,21,116134.06081922207,101.78036999999999,1141.0261,12.676144,20,142183.14057436062,67.71681,2099.6726,11.865775,1.2014503,0.0,0.0,0.0,0.0,0.0,0.81036854,0.31989574,0.4904728,36.317192,1.722275,1.0,10.0,1.0,10.0,16.527525,0.63333726,0.19301076,911.2988,13.116074,5750.0,4.5,-1.0,101.0,,,,11.700247000000001,0.019171432,9.0,,NOT_AVAILABLE,176.9497257815565,-48.711839125201216,42.70951943325065,-16.242931428672822,False,False,0,True,True,False,False,False,True,True,False,1.0313054e-13,5.1513183e-13,0.99989027,5819.5605,5784.0664,5863.0537,4.3388,4.3245,4.3741,-0.698,-0.7340000000000001,-0.6524,363.0551,343.9236,370.3254,0.1242,0.1019,0.1499,0.1049,0.086,0.1267,0.0569,0.0466,0.0687,MARCS
41,1636148068921376768,Gaia DR3 3332894779520,3332894779520,920830042,2016.0,45.05816837835961,0.013196151000000001,0.12740200940467927,0.012466604,1.7728032801093985,0.01566488,113.17056000000001,14.476409,6.436306603250438,0.016738724,-12.966894770292289,0.015340186,0.04812994599999999,0.19401737,-0.049190345999999996,0.023164304,-0.34322327,-0.03212136,-0.20276168,0.06634359,0.09521242,0.24494547,200,200,200,0,2.7873437,373.1068,0.06771999,4.753550499999999,31,True,1.4677883,,,,,,,,23,16,0.024999322,23,9,0,0.01893902,111.88941000000001,0,0,1.142625,,,,,,,,,False,200,186323.67235640858,54.185134999999995,3438.6492,12.511697,23,82329.97563124678,54.32516,1515.5035,13.049647,20,147545.36113578785,90.26343,1634.6084,11.825582,1.2337420000000001,0.0,1.0,0.0,0.0,0.0,1.2240658000000002,0.5379505,0.68611526,4.3900003,1.070167,1.0,11.0,4.0,9.0,21.302689,1.5121868,0.045885608,621.9052,8.491999,4750.0,3.0,0.0,111.0,,,,11.572329,0.013104893000000001,7.0,21.513548,NOT_AVAILABLE,176.8832719270488,-48.77234704192534,42.63265554880681,-16.23129034195098,False,False,0,True,True,True,False,False,False,True,False,1.0230173999999999e-13,5.109920999999999e-13,0.99997234,,,,,,,,,,,,,,,,,,,,,,
42,1636148068921376768,Gaia DR3 3371550165888,3371550165888,966755958,2016.0,45.03360463303108,0.07953422,0.12854885339664812,0.06986912,1.7407954226551587,0.08848822,19.672623,43.222828,-19.608753588458622,0.0991168,-38.518951251317965,0.08396412,0.089328386,0.25817779999999996,-0.084828675,0.046400234000000005,-0.1585697,0.045750495,-0.08622706,0.0039312183,0.017888453000000002,0.093374334,207,0,207,0,43.410187,2989.3555,0.70002925,136.18579,31,False,1.4744278,,,,,,,,24,16,0.13856475,24,10,0,0.01614315,121.40324,0,0,3.8084144999999996,0.27982974,0.18055259,0.30926,0.84763163,-58.720656999999996,-27.227673,-52.451622,29.346629999999998,False,200,28205.311019029494,7.111376,3966.224,14.561539999999999,20,12703.688014112517,17.750176999999997,715.6936,15.078717000000001,19,22180.4174448386,32.249878,687.7674599999999,13.882971,1.2367921,0.0,0.0,0.0,0.0,0.0,1.1957464,0.5171776,0.67856884,-45.86251,4.61178,2.0,11.0,1.0,10.0,3.8674781000000005,,,891.0496,,4500.0,3.0,-1.0,111.0,,,,13.677645000000002,0.19950432,10.0,,NOT_AVAILABLE,176.8561288726439,-48.78922281932166,42.60854276470955,-16.223003779617187,False,False,0,True,True,False,False,False,True,True,False,1.0256178500000001e-13,5.123437e-13,0.9999466,5066.854,5048.088,5109.8975,4.6427,4.6315,4.6573,-0.6246,-0.6592,-0.5523,380.5594,374.2017,393.9596,0.4487,0.4332,0.4809,0.3578,0.3452,0.3839,0.1926,0.1858,0.2066,MARCS
61,1636148068921376768,Gaia DR3 4711579935744,4711579935744,954441217,2016.0,44.89479998813306,0.01818166,0.11403061482574572,0.015021256,1.039021111880276,0.019398822,53.561046999999995,25.633776,-7.708092376316827,0.021902485,-24.447409110485808,0.017626958,-0.033324584,0.17649093,-0.1303462,0.01571626,-0.18386579,0.005405163,-0.17371818,0.04270673,0.017747898,-0.012979188000000001,220,0,219,1,0.31990692,223.81995,0.0,0.0,31,True,1.5476092,,,,,,,,25,16,0.030419255,25,11,0,0.03902718,155.39882,0,0,1.0139378000000001,0.21802792,0.17660926,0.31032732,0.8581533000000001,-84.39338000000001,-4.3786244000000005,-46.261158,29.042091,False,219,36626.27454566469,31.979149,1145.3174,14.277885000000001,24,19388.845473768382,73.14239,265.0836,14.619662,23,24715.96900082108,59.667667,414.22717,13.765451,1.2041851000000001,0.0,3.0,0.0,0.0,0.0,0.85421085,0.34177685,0.5124340000000001,15.956610999999999,5.5547466,2.0,11.0,3.0,10.0,5.389112,,,891.0495,,5750.0,4.0,-0.25,222.0,,,,13.462751999999998,0.22047614,9.0,,NOT_AVAILABLE,176.72533731568728,-48.89907955237033,42.46590897689768,-16.196201154151105,False,False,0,True,True,False,False,False,True,True,False,1.02786527e-13,5.134136e-13,0.9999243,5512.4717,5498.2275,5538.0693,4.2765,4.2666,4.2873,-0.7414,-0.7645,-0.7117,908.1210000000001,892.9607,922.6711,0.0152,0.0045,0.0314,0.0126,0.0037,0.0262,0.0068,0.002,0.0142,MARCS
96,1636148068921376768,Gaia DR3 6223408420864,6223408420864,298202049,2016.0,44.9376489880519,0.015608515,0.18839339947220893,0.012987604,3.0978489336550648,0.017091764,181.24805,55.794243,46.522738279515714,0.018902728,-30.799876246047486,0.015198596000000002,-0.019807748,0.24203281,-0.09899316,-0.0050894176,-0.19282879,-0.0062461314,-0.1563515,0.025335144,-0.009264924,0.00066402927,232,0,229,3,-0.114564165,221.67921,0.0,0.0,31,True,1.4717253000000001,,,,,,,,26,16,0.026193066,26,11,0,0.04542681,155.80546999999999,0,0,0.9931072,0.25764656,0.15954620000000003,0.33071715,0.8586344000000001,-76.272675,-13.218432,-48.66424,29.07556,False,219,50340.87707235896,9.978962,5044.7007,13.932564999999999,21,22409.981146540867,30.622221000000003,731.8209,14.462439000000002,23,39745.96207563093,33.860165,1173.8267,13.249663,1.2347013,0.0,0.0,0.0,1.0,0.0,1.2127752,0.52987385,0.6829014,-2.5943098,3.8851940000000003,2.0,14.0,5.0,12.0,8.607512,,,891.0496,,4750.0,4.5,-0.25,222.0,,,,12.897164,0.056842826,9.0,,NOT_AVAILABLE,176.68952280725313,-48.81655311719903,42.53126733941362,-16.13767503837922,False,False,0,True,True,False,False,False,True,True,False,1.0819808e-13,5.4044394e-13,0.9993886000000001,4995.751,4949.2275,5011.6226,4.6522,4.6115,4.6716,-0.1791,-0.2238,-0.1562,302.8095,294.0363,307.915,0.3681,0.3288,0.3828,0.2914,0.2599,0.3032,0.1549,0.1381,0.1612,MARCS
109,1636148068921376768,Gaia DR3 6944962925824,6944962925824,803601251,2016.0,44.9758215564116,0.017739599999999998,0.1878141021101549,0.014514675,0.9904046280949322,0.019033762,52.0341,15.958854999999998,6.6340867101486385,0.022116989,-14.514611083909195,0.01829792,-0.058362834,0.2424091,-0.08557414,-0.003472962,-0.17049138,-0.008729448,-0.14979367,0.028980896000000003,-0.018604938,0.06300986,242,0,242,0,1.4455158000000001,273.07912999999996,0.0,0.0,31,True,1.5276257,,,,,,,,28,16,0.03075047,28,11,0,0.023326276,150.2724,1,0,1.0656872,0.23794678,0.17822546,0.29993415,0.8736733,-79.84316,2.5496109000000002,-48.330574,28.761349,False,230,36504.56786328733,8.476151,4306.7383,14.281498999999998,25,18549.20766357951,31.709295,584.977,14.667728,25,25468.734633237218,22.87003,1113.6293,13.732876999999998,1.2058201000000002,0.0,1.0,0.0,1.0,0.0,0.93485165,0.38622952,0.54862213,-24.225092,8.637959,2.0,11.0,2.0,10.0,4.514007599999999,,,779.7116,,5250.0,4.0,-0.25,111.0,,,,13.524594,0.08912116,9.0,,NOT_AVAILABLE,176.73049455501746,-48.7895490464196,42.56908544791222,-16.149414860961347,False,False,0,True,True,False,False,False,True,True,False,1.0276925000000001e-13,5.1332723e-13,0.99992603,5510.5625,5498.661999999999,5526.592,4.2722,4.263,4.2813,-0.0687,-0.0878,-0.0496,947.1208,931.1776,962.9389,0.1589,0.151,0.1692,0.1311,0.1244,0.1396,0.07,0.0664,0.0746,MARCS
114,1636148068921376768,Gaia DR3 7284264691456,7284264691456,362771521,2016.0,45.06227669197522,0.019027978,0.21600441945474147,0.014994963,6.227192127697988,0.020099765,309.81417999999996,57.23111,28.98116392652809,0.024188097999999998,49.35070594710202,0.018283024,-0.12390787,0.24792922,-0.18829426,0.048756417,-0.24940322,0.050761547000000004,-0.23183143,-0.04801506,0.038718395,-0.043795705,202,0,202,0,3.6189023999999996,267.2581,0.029076545,0.36399380000000003,31,False,1.3859612,,,,,,,,23,13,0.033793893,23,10,0,0.015291543000000001,90.98693,0,0,1.1859587,0.250979,0.21822824,0.32463172,0.8492274999999999,-77.30649,2.3617709,-47.673893,29.336325,False,201,44419.08104019986,13.337454999999999,3330.4016,14.068442999999998,21,15229.574410260748,22.965061,663.1628,14.881823,20,42138.51164200228,23.280739999999998,1810.016,13.186197,1.2915188999999998,0.0,1.0,0.0,0.0,0.0,1.6956253000000001,0.8133793,0.8822459999999999,1.7201953999999997,3.7338958,2.0,11.0,2.0,9.0,8.306091,,,911.4751,,4500.0,4.5,0.75,111.0,,,,12.789391,0.034496106,9.0,,NOT_AVAILABLE,176.79098049547596,-48.707826934552486,42.663739778421956,-16.147766998564958,False,False,0,True,True,False,False,False,False,True,False,1.0765377e-13,5.377251999999999e-13,0.99944246,,,,,,,,,,,,,,,,,,,,,,
116,1636148068921376768,Gaia DR3 7387343906304,7387343906304,1784449006,2016.0,45.070767386056566,0.03981308,0.23473370815260625,0.03177716,2.641564994337502,0.04222455,62.559937,18.515654,3.4028150649290785,0.051393256,-18.200281690171682,0.038782023,-0.1242297,0.19754241,-0.16764657,0.07201519999999999,-0.22356571,0.07977053,-0.18636581,-0.07601227599999999,0.051290046,-0.055633605,193,0,193,0,9.816027,456.69458,0.23047194,9.446125,31,False,1.4129865,,,,,,,,22,13,0.07179803400000001,22,10,0,0.01703058,89.09104,48,0,1.5447419,0.22240692,0.24459238,0.2929895,0.85430044,-82.7328,7.701797,-47.20343,28.842996999999997,False,191,17835.063481402147,9.758752000000001,1827.5968,15.05918,21,6920.116351728267,13.152114000000001,526.16003,15.738257999999998,21,16474.038151533714,22.09411,745.6303,14.205895000000002,1.3116945,0.0,0.0,0.0,1.0,0.0,1.5323628999999999,0.6790781,0.85328484,5.4223056,6.0573816,2.0,8.0,3.0,7.0,3.3056786,,,911.4751,,5000.0,4.5,0.75,101.0,,,,13.8019905,0.11138215,7.0,,NOT_AVAILABLE,176.77953171748572,-48.68870164392254,42.6778948562049,-16.13233993243829,False,False,0,True,False,False,False,False,True,True,False,1.0414265e-13,1.8310382999999997e-11,0.99979013,4458.5513,4445.7197,4472.687,4.6068,4.5963,4.6182,0.1539,0.1126,0.1927,374.5328,369.5098,378.32199999999995,0.419,0.4013,0.4388,0.3147,0.3013,0.3297,0.1655,0.1586,0.1736,MARCS
121,1636148068921376768,Gaia DR3 7632157690368,7632157690368,1237465113,2016.0,45.034342834696204,0.03077455,0.2353895995160412,0.023234252,5.60229354383997,0.031825747,176.03023000000002,45.976803000000004,45.466009830534496,0.04021206,-6.834343096515991,0.029077915,-0.17947543,0.24998206,-0.12716097,0.13067898,-0.19388047,0.10122681,-0.1066421,-0.025050153999999998,0.15364717,-0.19840926,209,209,206,3,7.254428999999999,798.8394,0.21018514,30.282295,31,True,1.4869795,,,,,,,,24,13,0.05702921,24,9,1,0.018195733000000002,150.16376,0,0,1.3809833999999999,,,,,,,,,False,203,11153877.166094733,3210.559,3474.123,8.068802,22,5173526.3776620915,3594.45,1439.3096,8.554075,20,8534147.08487603,3523.9817,2421.7341,7.419995299999999,1.2289603999999998,0.0,0.0,0.0,0.0,0.0,1.1340799,0.48527336,0.6488066,5.901028,0.27284372,1.0,10.0,0.0,8.0,240.12833999999998,6.982922,1.110223e-16,911.4751,2.2336764,4750.0,3.0,0.0,222.0,10.427412,0.42102185,9.0,7.174999000000001,0.0058743027,10.0,,NOT_AVAILABLE,176.74042877472885,-48.7144143617334,42.641836842459824,-16.12105778470907,False,False,2,True,True,False,False,False,True,True,False,1.0256868e-13,5.1232537e-13,0.9999459,5028.776,5026.62,5030.852,3.1614,3.1568,3.1656,-0.1016,-0.1032,-0.1004,175.6677,174.7954,176.5858,0.2131,0.2105,0.2154,0.17,0.1679,0.1718,0.0899,0.0888,0.091,MARCS
